id;activo;apellidos;direcion;email;nombre_contacto;nombre_empresa;nombres;notas;sitio_web;telefono_fijo;telefono_fijo_2;telefono_movil;telefono_movil_2
1;false;split volleyball;toothpick;Andrea.DiazAleman@gmail.com;ew meh;er;fooey rural;wherever thankfully;concerning legend;13231;5563;27627;8238
2;false;pro;slime arbitrate fork;Pilar_SaizOlivas@gmail.com;aha hydrolyze pecan;consistency bicycle;upright eek;along;indeed;13403;7190;17413;28858
3;true;consistency issue;upwardly why provided;Monica64@yahoo.com;condense motionless;yet;versus SUV ack;essay syringe;when restaurant gosh;27230;11872;27439;18937
4;false;aw psst;plus;Esteban42@yahoo.com;consequently whale disadvantage;commercial;illusion pop;geez yuck grubby;partially a;4806;26911;16888;26580
5;true;micromanage offensively;wherever lest surprise;Mario_UrenaLeyva@yahoo.com;ha responsibility swat;readies married;please;subsidy;tricky jaggedly;20655;5870;29946;27842
6;true;chunder whenever;whose charming;MariaJose99@yahoo.com;furthermore;to;monthly inhibit;nerve broadcast;croon;10831;10531;18174;10258
7;true;loftily;for;Veronica79@gmail.com;stiffen ugly well-off;excepting what supposing;aboard skateboard;oof helpfully massive;before captain;9486;20470;13100;20782
8;false;meaningfully cappelletti;wherever helpfully;Sofia.ZamudioVera@gmail.com;behind;pish through;unfortunately lazily since;sizzle by championship;cafe whenever drat;1120;24483;8331;18114
9;false;silent crossly furlough;commemorate per forecast;MariadelCarmen.RolonCarrera@hotmail.com;interviewer coal covenant;wonderfully beneath even;license except;cassava;dapper than afore;32258;18297;23932;26968
10;true;bug yowza nor;lanky;Rafael_MedinaPena@yahoo.com;miserly off;for;fixed mmm rapidly;wrongly;unhealthy sans;32706;2374;14163;30219
